Story ID,Prediction,Rationale
46,0,"[Claim]: Thalcave’s people faded as colonists advanced; his father, last of the tribal guides, knew the pampas geography and animal ways, while his mother died giving birth. | [Evidence]: ""hat further resistance or remonstrance was useless. He saw before him an officer delegated to enforce the law, and perfectly well knew that it would b..."" | [Analysis]: Evidence used for NLI check."
137,1,"[Claim]: Suspected again in 1815, he was re-arrested and shipped to the Château d’If, this time for life. | [Evidence]: ""gures.  He fancied that these two forms were looking at the sea; doubtless these strange grave-diggers had heard his cry. Dantès dived again, and rema..."" | [Analysis]: Evidence used for NLI check."
74,0,"[Claim]: Before each fight he studied the crack-patterns of his mother’s shark-tooth necklace by moonlight to divine the outcome. | [Evidence]: ""wers, his suns more brilliant than the sun; designs by Decamp, as vividly colored as those of Salvator Rosa, but more poetic; _pastels_ by Giraud and ..."" | [Analysis]: Evidence used for NLI check."
109,1,"[Claim]: Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering. | [Evidence]: ""ined the belief that General de Quesnel, or the Baron d’Épinay, as he was alternately styled, according as the speaker wished to identify him by his o..."" | [Analysis]: Evidence used for NLI check."
104,0,"[Claim]: His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority. | [Evidence]: ""it was very evident that something desperate was passing in the old man’s mind, for a cry of anger and grief rose in his throat, and not being able to..."" | [Analysis]: Evidence used for NLI check."
35,1,"[Claim]: The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; “marooning” was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat. | [Evidence]: ""ings in the marshes of the Snowy, all the wretch's deeds, flashed upon the minds of the two men. And now, by a strange fatality, the convict was in th..."" | [Analysis]: Evidence used for NLI check."
18,1,"[Claim]: He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility. | [Evidence]: ""e detected, the ingenious artifice. He attacked this wall, cemented by the hand of time, with his pickaxe. After ten minutes’ labor the wall gave way,..."" | [Analysis]: Evidence used for NLI check."
31,1,"[Claim]: He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts. | [Evidence]: "" honor of which I feel myself unworthy—that of being the husband of Mercédès.”  “Nay, nay!” cried Caderousse, smiling, “you have not attained that hon..."" | [Analysis]: Evidence used for NLI check."
68,0,"[Claim]: At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the “sun-devouring warrior.” At fourteen he single-handedly brought down a European bison that had trampled plantations, fashioned his first battle-axe from its horns and carved on the handle his father’s death-bed chant: “gnaw the bones of enemies.” | [Evidence]: "". At a sign from him the captain had stopped Glenarvan.  In truth, one of the warriors, startled by some unaccustomed sound, had risen and approached ..."" | [Analysis]: Evidence used for NLI check."
9,0,"[Claim]: He accidentally slipped a farewell letter to his French sweetheart into an academic report; the romance ended, yet the Academy of Sciences praised the document. | [Evidence]: ""e a member of the Academy of Sciences for this?”  “No; of the French Academy.”  “But what has the French Academy to do with all this?”  “I was going t..."" | [Analysis]: Evidence used for NLI check."
84,1,"[Claim]: In a skirmish at a British outpost friendly fire killed several of his comrades; he took bones from their bodies as tokens, swore to shield the survivors and from that moment sealed his emotions. | [Evidence]: ""t.  Glenarvan cast about him a sorrowful glance. He thought of the child who was there, of his companions, of all whom he loved. Robert said nothing; ..."" | [Analysis]: Evidence used for NLI check."
83,0,"[Claim]: At eighteen, on the run in Tasmania, he met the escaped convict Ayrton hiding in the bush; the two fugitives pooled their languages and survival skills, raided together for ransom and forged a brotherhood laced with mutual wariness. | [Evidence]: ""e. What the count said was true—the most curious spectacle in life is that of death.  And yet, instead of the silence and the solemnity demanded by th..."" | [Analysis]: Evidence used for NLI check."
134,1,"[Claim]: After graduation a secret society enlisted him as strategist and propagandist in a campaign against corrupt rulers. | [Evidence]: "" which had been a chisel, a knife, and a wooden lever; Faria still continuing to instruct Dantès by conversing with him, sometimes in one language, so..."" | [Analysis]: Evidence used for NLI check."
88,0,"[Claim]: Under the alias “Citizen Noirtier” he joined the Girondins, drafted parts of the Revolutionary Code and broke with Robespierre over whether courts should keep formal procedures. | [Evidence]: ""oney?”  “Yes,” said Danglars, while the perspiration started from the roots of his hair. “Yes, keep it—keep it.”  Monte Cristo replaced the notes in h..."" | [Analysis]: Evidence used for NLI check."
67,0,"[Claim]: Born on New Zealand’s North-island east coast to a Maori war-chief father and a priestess mother skilled in herbs and star-reading, he saw his father ambushed by a British musket squad, the body mutilated, the left ear taken as trophy; his mother tattooed a vengeance curse on his chest with ochre. | [Evidence]: ""passed, so deep was the impression made in his mind by the dream, and so strong a hold had it taken of his imagination. Thus every now and then he saw..."" | [Analysis]: Evidence used for NLI check."
112,0,"[Claim]: Through underground circles he met the Count of Monte Cristo and fed the avenger vital information, lending invisible aid to the plot against his enemies. | [Evidence]: ""r depend upon himself, proceeded at once to the salon.  Although M. de Villefort flattered himself that, to all outward view, he had completely masked..."" | [Analysis]: Evidence used for NLI check."
79,1,"[Claim]: After the killing, elders held a “Blood-and-Bone” rite; he lifted fragments of his mother’s burnt bones to his lips to “breathe in her spirit,” a ritual he repeated whenever catastrophe loomed, turning him gloomy yet unyielding. | [Evidence]: "". How great is the power of a woman who has made so courageous a resolution! What devotion does she deserve from him for whom she has sacrificed every..."" | [Analysis]: Evidence used for NLI check."
55,0,"[Claim]: His first double role: hired by a British Geographical Society expedition, he quietly altered the route to shield sacred Indian sites. | [Evidence]: ""irst kills M. de Saint-Méran,” repeated the doctor, “then Madame de Saint-Méran,—a double fortune to inherit.” Villefort wiped the perspiration from h..."" | [Analysis]: Evidence used for NLI check."
